Postal Code,Country,Region,State,City
59102,United States,West,Montana,Billings
59405,United States,West,Montana,Great Falls
59601,United States,West,Montana,Helena
59715,United States,West,Montana,Bozeman
59801,United States,West,Montana,Missoula
80004,United States,West,Colorado,Arvada
80013,United States,West,Colorado,Aurora
80020,United States,West,Colorado,Broomfield
80022,United States,West,Colorado,Commerce City
80027,United States,West,Colorado,Louisville
80112,United States,West,Colorado,Englewood
80122,United States,West,Colorado,Littleton
80134,United States,West,Colorado,Parker
80219,United States,West,Colorado,Denver
80229,United States,West,Colorado,Thornton
80501,United States,West,Colorado,Longmont
80525,United States,West,Colorado,Fort Collins
80538,United States,West,Colorado,Loveland
80634,United States,West,Colorado,Greeley
80906,United States,West,Colorado,Colorado Springs
81001,United States,West,Colorado,Pueblo
82001,United States,West,Wyoming,Cheyenne
83201,United States,West,Idaho,Pocatello
83301,United States,West,Idaho,Twin Falls
83501,United States,West,Idaho,Lewiston
83605,United States,West,Idaho,Caldwell
83642,United States,West,Idaho,Meridian
83704,United States,West,Idaho,Boise
84020,United States,West,Utah,Draper
84041,United States,West,Utah,Layton
84043,United States,West,Utah,Lehi
84057,United States,West,Utah,Orem
84062,United States,West,Utah,Pleasant Grove
84084,United States,West,Utah,West Jordan
84106,United States,West,Utah,Salt Lake City
84107,United States,West,Utah,Murray
84321,United States,West,Utah,Logan
84604,United States,West,Utah,Provo
85023,United States,West,Arizona,Phoenix
85204,United States,West,Arizona,Mesa
85224,United States,West,Arizona,Chandler
85234,United States,West,Arizona,Gilbert
85254,United States,West,Arizona,Scottsdale
85281,United States,West,Arizona,Tempe
85301,United States,West,Arizona,Glendale
85323,United States,West,Arizona,Avondale
85345,United States,West,Arizona,Peoria
85364,United States,West,Arizona,Yuma
85635,United States,West,Arizona,Sierra Vista
85705,United States,West,Arizona,Tucson
86442,United States,West,Arizona,Bullhead City
87105,United States,West,New Mexico,Albuquerque
87124,United States,West,New Mexico,Rio Rancho
87401,United States,West,New Mexico,Farmington
87505,United States,West,New Mexico,Santa Fe
88001,United States,West,New Mexico,Las Cruces
88101,United States,West,New Mexico,Clovis
88220,United States,West,New Mexico,Carlsbad
89015,United States,West,Nevada,Henderson
89031,United States,West,Nevada,North Las Vegas
89115,United States,West,Nevada,Las Vegas
89431,United States,West,Nevada,Sparks
89502,United States,West,Nevada,Reno
90004,United States,West,California,Los Angeles
90278,United States,West,California,Redondo Beach
90301,United States,West,California,Inglewood
90503,United States,West,California,Torrance
90604,United States,West,California,Whittier
90640,United States,West,California,Montebello
90660,United States,West,California,Pico Rivera
90712,United States,West,California,Lakewood
90805,United States,West,California,Long Beach
91104,United States,West,California,Pasadena
91360,United States,West,California,Thousand Oaks
91505,United States,West,California,Burbank
91730,United States,West,California,Rancho Cucamonga
91761,United States,West,California,Ontario
91767,United States,West,California,Pomona
91776,United States,West,California,San Gabriel
91911,United States,West,California,Chula Vista
91941,United States,West,California,La Mesa
92020,United States,West,California,El Cajon
92024,United States,West,California,Encinitas
92025,United States,West,California,Escondido
92037,United States,West,California,San Diego
92054,United States,West,California,Oceanside
92236,United States,West,California,Coachella
92253,United States,West,California,La Quinta
92307,United States,West,California,Apple Valley
92345,United States,West,California,Hesperia
92374,United States,West,California,Redlands
92399,United States,West,California,Yucaipa
92404,United States,West,California,San Bernardino
92503,United States,West,California,Riverside
92530,United States,West,California,Lake Elsinore
92553,United States,West,California,Moreno Valley
92563,United States,West,California,Murrieta
92592,United States,West,California,Temecula
92627,United States,West,California,Costa Mesa
92630,United States,West,California,Lake Forest
92646,United States,West,California,Huntington Beach
92672,United States,West,California,San Clemente
92677,United States,West,California,Laguna Niguel
92683,United States,West,California,Westminster
92691,United States,West,California,Mission Viejo
92704,United States,West,California,Santa Ana
92804,United States,West,California,Anaheim
93010,United States,West,California,Camarillo
93030,United States,West,California,Oxnard
93101,United States,West,California,Santa Barbara
93277,United States,West,California,Visalia
93309,United States,West,California,Bakersfield
93405,United States,West,California,San Luis Obispo
93454,United States,West,California,Santa Maria
93534,United States,West,California,Lancaster
93727,United States,West,California,Fresno
93905,United States,West,California,Salinas
94061,United States,West,California,Redwood City
94086,United States,West,California,Sunnyvale
94109,United States,West,California,San Francisco
94403,United States,West,California,San Mateo
94509,United States,West,California,Antioch
94513,United States,West,California,Brentwood
94521,United States,West,California,Concord
94526,United States,West,California,Danville
94533,United States,West,California,Fairfield
94568,United States,West,California,Dublin
94591,United States,West,California,Vallejo
94601,United States,West,California,Oakland
95037,United States,West,California,Morgan Hill
95051,United States,West,California,Santa Clara
95123,United States,West,California,San Jose
95207,United States,West,California,Stockton
95240,United States,West,California,Lodi
95336,United States,West,California,Manteca
95351,United States,West,California,Modesto
95610,United States,West,California,Citrus Heights
95616,United States,West,California,Davis
95661,United States,West,California,Roseville
95687,United States,West,California,Vacaville
95695,United States,West,California,Woodland
95823,United States,West,California,Sacramento
95928,United States,West,California,Chico
96003,United States,West,California,Redding
97030,United States,West,Oregon,Gresham
97123,United States,West,Oregon,Hillsboro
97206,United States,West,Oregon,Portland
97224,United States,West,Oregon,Tigard
97301,United States,West,Oregon,Salem
97405,United States,West,Oregon,Eugene
97477,United States,West,Oregon,Springfield
97504,United States,West,Oregon,Medford
97756,United States,West,Oregon,Redmond
98002,United States,West,Washington,Auburn
98006,United States,West,Washington,Bellevue
98026,United States,West,Washington,Edmonds
98031,United States,West,Washington,Kent
98042,United States,West,Washington,Covington
98052,United States,West,Washington,Redmond
98059,United States,West,Washington,Renton
98103,United States,West,Washington,Seattle
98198,United States,West,Washington,Des Moines
98208,United States,West,Washington,Everett
98226,United States,West,Washington,Bellingham
98270,United States,West,Washington,Marysville
98502,United States,West,Washington,Olympia
98632,United States,West,Washington,Longview
98661,United States,West,Washington,Vancouver
99207,United States,West,Washington,Spokane
99301,United States,West,Washington,Pasco
